"","FP","cat","subcat","offset","ESU","MFS","IMN","UPS","cat_ESU","cat_MFS","cat_IMN","cat_UPS","sum_cat"
"1","arc.spr.2","arc","spr",2,0.35106056,0.26714645,-99,-99,1,NA,NA,NA,1
"2","arc.spr.4","arc","spr",4,0.30388832,0.29079104,-99,-99,NA,1,NA,NA,1
"3","csl.Dmales6.2","csl","Dmales6",2,0.4214263,0.35980372,-99,-99,NA,1,NA,NA,1
"4","csl.Dpups.0","csl","Dpups",0,0.46373008,0.15420617,-99,0.08177866,1,NA,NA,1,2
"5","flow.mean.2","flow","mean",2,-99,-99,-99,0.10002732,NA,NA,NA,1,1
"6","harv.CRsport.4","harv","CRsport",4,0.5559485,0.53741952,-99,-99,1,1,NA,NA,2
"7","hatch.SNAK.2","hatch","SNAK",2,-99,0.4610196,-99,-99,NA,1,NA,NA,1
"8","hatch.SNAK.3","hatch","SNAK",3,0.47642287,0.4539994,-99,-99,1,NA,NA,NA,1
"9","hatch.total.2","hatch","total",2,0.27490273,-99,0.00371885,-99,NA,NA,1,NA,1
"10","hseal.COL.2","hseal","COL",2,0.24314931,-99,-99,-99,1,NA,NA,NA,1
"11","npgo.spr.2","npgo","spr",2,0.38540514,0.41649643,-99,-99,NA,1,NA,NA,1
"12","npgo.win.3","npgo","win",3,0.41460392,0.40511962,-99,-99,1,NA,NA,NA,1
"13","npgo.yravg.3","npgo","yravg",3,0.39051736,0.4137686,0.19501024,-99,NA,NA,1,NA,1
"14","npgo.yrsum.2","npgo","yrsum",2,0.39620905,0.41434445,-99,0.26997665,NA,NA,NA,1,1
"15","orca.DNRKW.4","orca","DNRKW",4,0.45678142,0.33946838,-99,-99,1,NA,NA,NA,1
"16","orca.DSEAK.4","orca","DSEAK",4,0.44931846,0.45478056,-99,-99,NA,1,NA,NA,1
"17","orca.SRKWbirthsJKL.4","orca","SRKWbirthsJKL",4,0.28772492,0.2270759,0.08419822,-99,NA,NA,1,NA,1
"18","orca.SRKWdeathsJKL.5","orca","SRKWdeathsJKL",5,0.32687109,0.14777545,-99,0.19169074,NA,NA,NA,1,1
"19","pdo.fal.5","pdo","fal",5,0.20441001,0.06501935,-99,0.01563083,NA,NA,NA,1,1
"20","pdo.spr.2","pdo","spr",2,0.38009804,-99,-99,-99,1,NA,NA,NA,1
"21","pdo.spr.4","pdo","spr",4,0.26886654,0.24231406,0.16154032,-99,NA,NA,1,NA,1
"22","pdo.sum.2","pdo","sum",2,0.36323009,0.35562196,-99,-99,NA,1,NA,NA,1
"23","ssl.bonn.2","ssl","bonn",2,0.38772891,0.35419446,-99,-99,NA,1,NA,NA,1
"24","ssl.COL.2","ssl","COL",2,0.51150921,-99,-99,-99,1,NA,NA,NA,1
"25","ssl.rookORraw.5","ssl","rookORraw",5,0.36628916,-99,0.0570459,-99,NA,NA,1,NA,1
"26","upw.spr.3","upw","spr",3,0.26736194,0.2084796,-99,0.1090487,NA,NA,NA,1,1
"27","upw.tdmi.4","upw","tdmi",4,0.42054629,0.44529363,0.24824526,-99,NA,1,1,NA,2
"28","upw.tdmi.5","upw","tdmi",5,0.45111702,0.40132776,-99,-99,1,NA,NA,NA,1
