"","last_release_date_year","ta","tu","ua","uu","total"
"1",1970,2462,0,2526,78915670,78920658
"2",1971,222723,0,9770,102988460,103220953
"3",1972,3178571,0,235986,100038899,103453456
"4",1973,6042137,10282,427746,101820794,108300959
"5",1974,3977142,0,415584,105680021,110072747
"6",1975,3925566,204,148690,98271955,102346415
"7",1976,6700166,8215,142079,137186376,144036836
"8",1977,11118436,25721,464400,146248047,157856604
"9",1978,15056010,24106,594904,186849241,202524261
"10",1979,16418514,20774,697149,219152946,236289383
"11",1980,15069510,14120,537269,246690521,262311420
"12",1981,13997580,42159,563878,261580227,276183844
"13",1982,14046397,21034,615178,223623159,238305768
"14",1983,14287434,16043,623700,251481812,266408989
"15",1984,16725002,10734,585958,269761994,287083688
"16",1985,21654707,10477,751294,246328675,268745153
"17",1986,27234072,20502,874360,274133584,302262518
"18",1987,27912029,22243,1025976,304093040,333053288
"19",1988,29035408,31493,829012,328594646,358490559
"20",1989,28744261,20117,837947,322001778,351604103
"21",1990,29368119,24084,1051044,317593259,348036506
"22",1991,30747661,37632,1157586,317090461,349033340
"23",1992,35302695,265288,1158544,300620212,337346739
"24",1993,33881872,906866,1719136,257404727,293912601
"25",1994,33740010,73745,5516492,256061039,295391286
"26",1995,32936258,263596,4639680,288041392,325880926
"27",1996,30532226,155146,2682396,271647283,305017051
"28",1997,31084861,164802,2257129,252071547,285578339
"29",1998,37772442,1249868,3981666,249821355,292825331
"30",1999,40394867,3854986,21386147,204656952,270292952
"31",2000,31746964,3771914,38030990,184571281,258121149
"32",2001,34728002,4231194,39984018,177601607,256544821
"33",2002,35812291,5597300,49095599,185987199,276492389
"34",2003,32522117,7875390,45655613,196759818,282812938
"35",2004,32853464,6137472,51191123,176762226,266944285
"36",2005,35260157,7050069,68421284,155430902,266162412
"37",2006,33637339,7093292,83268227,138116512,262115370
"38",2007,40560005,7265934,105104528,128243337,281173804
"39",2008,39636028,8377058,109157021,109233548,266403655
"40",2009,39813986,7378903,116015603,98626172,261834664
"41",2010,45111737,9564649,115857872,97293183,267827441
"42",2011,42561373,10878113,116444116,94593188,264476790
"43",2012,46486582,10522253,115150243,96483979,268643057
"44",2013,42605141,9415051,117232762,87339952,256592906
"45",2014,43310280,10562540,114889637,85997027,254759484
"46",2015,42402520,8978562,115216295,78226704,244824081
"47",2016,45369255,9384034,107296129,83508583,245558001
"48",2017,43484717,10067795,107401677,77579958,238534147
"49",2018,45209719,9110763,112614025,78235718,245170225
"50",2019,44047019,8827599,106255888,73523840,232654346
