"year","ersstArc.win"
1900,-0.189683093695805
1901,0.0178150907330129
1902,-0.321455920153651
1903,-0.37691431346981
1904,-0.706634375692784
1905,-0.455936612342966
1906,-0.406261756502349
1907,-0.537171862180206
1908,-0.672639536103983
1909,-0.865510121296192
1910,-1.39572635827393
1911,-1.20545745416619
1912,-0.764560682609164
1913,-0.655898044027131
1914,-0.754511697264923
1915,-0.416870124860742
1916,-0.667698776173866
1917,-0.996875648799984
1918,-0.229162954050919
1919,-1.04153779231269
1920,-0.721017436254984
1921,-0.875337392297284
1922,-0.555770713844518
1923,-0.4497119635001
1924,-0.517298162531579
1925,-0.713030909806832
1926,0.174157279044732
1927,0.529433190548557
1928,-0.318420763878987
1929,-0.354241459260042
1930,0.068080547897295
1931,-0.0650163828641519
1932,-0.691075219779179
1933,-0.589257308258407
1934,-0.45742926460573
1935,-0.119396968066007
1936,0.235395122259513
1937,0.085389655896987
1938,0.0665551674777064
1939,-0.486189166156725
1940,-0.0635386964370464
1941,0.827849396206867
1942,0.848159824294605
1943,-0.0104019199979716
1944,0.136064777429076
1945,0.43040275354495
1946,-0.285956440574821
1947,-0.494496081889361
1948,-0.712929757367605
1949,-0.981335641597879
1950,-0.408283926221146
1951,-0.241085858728694
1952,-0.549945403241563
1953,-0.415859739670808
1954,-0.441306506080189
1955,-0.282913187111931
1956,-0.503038929043145
1957,-0.459513886906635
1958,0.484303436334106
1959,0.453698130311637
1960,0.0617949115133834
1961,-0.0964678583473995
1962,-0.301333415439759
1963,0.194908005341716
1964,0.229262190235072
1965,-0.533142126771225
1966,-0.42938610890816
1967,-0.164486398642091
1968,-0.230163291267965
1969,-0.298990053829105
1970,0.0437120704815306
1971,-0.532571635712152
1972,-1.23434751417445
1973,-0.530981914887483
1974,-0.481572868084085
1975,-0.447241309593464
1976,-0.82204942257925
1977,0.235410754022927
1978,0.0431562499068249
1979,-0.217950721307733
1980,0.36701537699535
1981,0.22893625559478
1982,0.0485007154530492
1983,0.0145771380128532
1984,0.432952148338844
1985,0.0289481346634613
1986,0.246118316842222
1987,0.45855084274007
1988,0.0132102283938178
1989,-0.339264697042005
1990,0.006107248520029
1991,0.045696271425006
1992,0.0374408823320235
1993,0.0666150848755891
1994,0.375463275251717
1995,-0.280814344238961
1996,0.50961041984887
1997,0.193926425226803
1998,0.370556194343786
1999,-0.396300293796364
2000,-0.557699114221266
2001,-0.056419415035467
2002,-0.429384940794145
2003,0.459754832859697
2004,0.0426888246645873
2005,0.153145954800748
2006,0.160634203203793
2007,-0.356325072666694
2008,-0.623958031816044
2009,-0.585674311443307
2010,0.0169735035677066
2011,-0.230900381077295
2012,-0.497541042442979
2013,-0.415322958258377
2014,0.393420674746064
2015,1.36566235895815
2016,0.843699657231912
2017,0.388705682206428
2018,0.636574420983764
2019,0.69403093080411
2020,1.05110171334497
