"","stk","mpg"
"1","Catherine Creek","Imnaha"
"2","Grande Ronde Upper Mainstem","Imnaha"
"3","Imnaha River","Imnaha"
"4","Lostine River","Imnaha"
"5","Minam River","Imnaha"
"6","Wallowa River, Hurricane Creek, Bear Creek, and Lostine Rivers","Imnaha"
"7","Wenaha River","Imnaha"
"8","Tucannon River","Lower Snake"
"9","Bear Valley Creek","Middle Fork Salmon"
"10","Big Creek","Middle Fork Salmon"
"11","Camas Creek","Middle Fork Salmon"
"12","Chamberlain Creek","Middle Fork Salmon"
"13","Loon Creek","Middle Fork Salmon"
"14","Marsh Creek","Middle Fork Salmon"
"15","Middle Fork Salmon River above Indian Creek","Middle Fork Salmon"
"16","Middle Fork Salmon River below Indian Creek","Middle Fork Salmon"
"17","Sulphur Creek","Middle Fork Salmon"
"18","East Fork South Fork","South Fork Salmon"
"19","Secesh River","South Fork Salmon"
"20","South Fork Salmon River Mainstem","South Fork Salmon"
"21","East Fork Salmon River","Upper Salmon"
"22","Lemhi River","Upper Salmon"
"23","North Fork Salmon River","Upper Salmon"
"24","Pahsimeroi River","Upper Salmon"
"25","Salmon River Lower Mainstem below Redfish Lake","Upper Salmon"
"26","Salmon River Upper Mainstem above Redfish Lake","Upper Salmon"
"27","Valley Creek","Upper Salmon"
"28","Yankee Fork","Upper Salmon"
