"ccm_values.E","ccm_values.tau","ccm_values.tp","ccm_values.nn","ccm_values.lib_column","ccm_values.target_column","ccm_values.lib_size","ccm_values.num_pred","ccm_values.rho","ccm_values.mae","ccm_values.rmse","ccm_values.L","ccm_values.lower95","ccm_values.upper95","ccm_values.lower99","ccm_values.upper99","ccm_values.rho.1","ccm_values.u_rho","ccm_values.d_rho","max_rho","ter_rho","max_min_rho","ini_max_rho","d_rho","u_rho_term","xmap_from","xmap_to","xmap_from_to"
11,1,0,12,1,2,11,275,0.0227170784729892,0.299613776752341,1.05103166080894,11,-0.021831551429886,0.0360559142523089,-0.0281583178310972,0.0466882913887324,0.0227170784729892,-0.0133388357793197,-0.0295493088406104,0.0645592846053479,-0.00683223036762121,0.0713915149729691,0.0418422061323588,-0.0295493088406104,-0.177745649952928,1,2,"Xmap from Aurelia.sp to Engraulis.japonicus"
11,1,0,12,1,2,15,275,0.0292356429981518,0.296624274487363,1.04908690250654,15,-0.0242092823828173,0.0404484157032024,-0.0261517984686607,0.048626134929456,0.0292356429981518,-0.0112127727050505,-0.0295493088406104,0.0645592846053479,-0.00683223036762121,0.0713915149729691,0.0418422061323588,-0.0295493088406104,-0.177745649952928,1,2,"Xmap from Aurelia.sp to Engraulis.japonicus"
11,1,0,12,1,2,24,275,0.0625394869330665,0.258857748582877,1.03403860007585,24,-0.021884900647504,0.0491813171748759,-0.0265077106877715,0.0659777096748547,0.0625394869330665,0.0133581697581906,-0.0295493088406104,0.0645592846053479,-0.00683223036762121,0.0713915149729691,0.0418422061323588,-0.0295493088406104,-0.177745649952928,1,2,"Xmap from Aurelia.sp to Engraulis.japonicus"
11,1,0,12,1,2,40,275,0.0645592846053479,0.27429110500424,1.0336564229549,40,-0.0258354750052379,0.0611935291225707,-0.0333448292525234,0.109012883536939,0.0645592846053479,0.00336575548277722,-0.0295493088406104,0.0645592846053479,-0.00683223036762121,0.0713915149729691,0.0418422061323588,-0.0295493088406104,-0.177745649952928,1,2,"Xmap from Aurelia.sp to Engraulis.japonicus"
11,1,0,12,1,2,80,275,0.0423599365436959,0.281054342750796,1.04251917538066,80,-0.0311931272061942,0.108906581320716,-0.0395870092804692,0.151578370007259,0.0423599365436959,-0.0665466447770203,-0.0295493088406104,0.0645592846053479,-0.00683223036762121,0.0713915149729691,0.0418422061323588,-0.0295493088406104,-0.177745649952928,1,2,"Xmap from Aurelia.sp to Engraulis.japonicus"
11,1,0,12,1,2,120,275,0.0309121872314147,0.275493903986551,1.04173222194021,120,-0.0381836286593586,0.140406771581598,-0.0444354592988798,0.182998767600095,0.0309121872314147,-0.109494584350184,-0.0295493088406104,0.0645592846053479,-0.00683223036762121,0.0713915149729691,0.0418422061323588,-0.0295493088406104,-0.177745649952928,1,2,"Xmap from Aurelia.sp to Engraulis.japonicus"
11,1,0,12,1,2,160,275,0.00335650230285866,0.288623796670891,1.05401995221207,160,-0.0427520992539795,0.15039375172633,-0.0468275116245187,0.205465217075688,0.00335650230285866,-0.147037249423472,-0.0295493088406104,0.0645592846053479,-0.00683223036762121,0.0713915149729691,0.0418422061323588,-0.0295493088406104,-0.177745649952928,1,2,"Xmap from Aurelia.sp to Engraulis.japonicus"
11,1,0,12,1,2,200,275,-0.00276511927164721,0.295614254249829,1.0609727301607,200,-0.0462215583304244,0.156023441944457,-0.0516194585000172,0.213487088451521,-0.00276511927164721,-0.158788561216104,-0.0295493088406104,0.0645592846053479,-0.00683223036762121,0.0713915149729691,0.0418422061323588,-0.0295493088406104,-0.177745649952928,1,2,"Xmap from Aurelia.sp to Engraulis.japonicus"
11,1,0,12,1,2,240,275,-0.00353933274822366,0.302444748045157,1.06936374679278,240,-0.0476326141741919,0.167165576946588,-0.0530202765562592,0.230526999222689,-0.00353933274822366,-0.170704909694812,-0.0295493088406104,0.0645592846053479,-0.00683223036762121,0.0713915149729691,0.0418422061323588,-0.0295493088406104,-0.177745649952928,1,2,"Xmap from Aurelia.sp to Engraulis.japonicus"
11,1,0,12,1,2,285,275,-0.00683223036762121,0.310646082722827,1.07505607248222,285,-0.0489882615482604,0.170913419585307,-0.0549923005801044,0.233416603323964,-0.00683223036762121,-0.177745649952928,-0.0295493088406104,0.0645592846053479,-0.00683223036762121,0.0713915149729691,0.0418422061323588,-0.0295493088406104,-0.177745649952928,1,2,"Xmap from Aurelia.sp to Engraulis.japonicus"
